,gene_id,Gene name,description,Datasets with neurite TPM > 10,Mean TPM in neurites,Studies with neurite ribosome association,primary motor neurons B,neuroblastoma line CAD,Ascl1 induced neurons B,primary dorsal root ganglia,primary cortical neurons B,primary cortical neurons C,primary motor neurons C,neuroblastoma line N2A,hippocampal tissue B,hippocampal tissue C,iPSC derived motor neurons,Ascl1 induced neurons A,induced mixed neurons,hippocampal tissue A,cortical tissue,primary hippocampal neurons,primary cortical neurons A,primary motor neurons A,cortical growth cones,neuroblastoma line N1E,Zappulo2017_loc.translation,Shigeoka2016_loc.translation,Ouwenga2017_loc.translation,Ainsley2014_loc.translation
38,ENSMUSG00000036438,Calm2,calmodulin 2 [Source:MGI Symbol;Acc:MGI:103250],16,417.5995345,1,278.7183501,157.3468643,485.7339366,229.6051704,1379.440867,280.6003903,325.2191473,173.6452249,706.9951543,367.5848978,1061.194369,296.8888014,5339.044175,427.9822582,,,,,102.4032833,,,0.781384435,,
39,ENSMUSG00000057863,Rpl36,ribosomal protein L36 [Source:MGI Symbol;Acc:MGI:1860603],16,392.7859889,1,59.24431239,4765.563427,933.1695755,1035.788363,932.4038382,101.6858568,291.6382111,3395.234079,364.6689084,127.211455,615.4192759,697.7001503,325.3284861,31.12598241,,,,,158.1461119,,,0.692217442,,
40,ENSMUSG00000012405,Rpl15,ribosomal protein L15 [Source:MGI Symbol;Acc:MGI:1913730],16,381.5343236,1,217.598666,1474.410266,521.7575004,577.137523,1100.386139,83.97523837,716.1519325,1204.621003,407.5575435,101.2724915,1418.854027,820.1852355,,202.3188857,,,,,18.50672347,,,,,0.418293363
41,ENSMUSG00000028832,Stmn1,stathmin 1 [Source:MGI Symbol;Acc:MGI:96739],16,270.9154972,1,192.7113834,290.7673127,45.69990153,371.2767297,3218.635264,63.04771858,319.0641509,1194.460856,168.1400835,41.67356761,1177.868013,59.87229888,795.6629002,396.8562758,,,,,,,,0.901838092,,
42,ENSMUSG00000020267,Hint1,histidine triad nucleotide binding protein 1 [Source:MGI Symbol;Acc:MGI:1321133],16,262.8005744,1,54.25487925,715.6297314,1992.040276,179.5160294,937.322145,177.5255409,114.5915504,891.3121449,413.7759818,55.71313961,388.015814,253.3723301,819.7421722,124.5039297,,,,,36.08628091,,,,,0.095370887
43,ENSMUSG00000054766,Set,SET nuclear oncogene [Source:MGI Symbol;Acc:MGI:1860267],16,243.5843169,0,89.70185736,329.98839,647.6699149,185.4981737,590.4568457,39.84047629,748.1941195,290.2388906,,56.85500353,1371.927538,221.423031,2357.548616,233.4448681,,,,,14.99156044,,,,,
44,ENSMUSG00000016559,H3f3b,"H3 histone, family 3B [Source:MGI Symbol;Acc:MGI:1101768]",16,230.9764202,0,95.61970078,334.7402827,398.6802835,156.0106383,1568.851888,28.2493116,259.4149947,542.6225889,483.2989537,45.41497567,458.2807399,232.2155482,485.9310114,389.0747802,,,,,51.80266059,,,,,
45,ENSMUSG00000006932,Ctnnb1,"catenin (cadherin associated protein), beta 1 [Source:MGI Symbol;Acc:MGI:88276]",16,229.7100031,1,163.9976647,201.2001256,15.20493543,306.9436923,169.0298377,,9053.999684,136.1685128,,127.4267103,1022.27017,279.514479,173.4904068,949.3424636,,,,,25.76441053,,,0.790379351,,
46,ENSMUSG00000031633,Slc25a4,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4 [Source:MGI Symbol;Acc:MGI:1353495]",16,216.7846775,1,136.055315,957.4742557,376.0978778,147.8179361,801.3670598,360.1561629,377.9891898,697.2864775,834.0784628,132.5903876,49.53453671,167.8623134,38.93775318,,,,,,25.66642724,,,,,0.034021194
47,ENSMUSG00000018411,Mapt,microtubule-associated protein tau [Source:MGI Symbol;Acc:MGI:97180],16,212.4539818,1,82.33894836,129.8308095,35.76919629,143.5680209,660.3569878,98.07701861,374.821177,304.1746404,268.1903442,132.5706841,116.5994724,11.21191912,417890.3171,451.326745,,,,,22.81967415,,,0.31638639,,
48,ENSMUSG00000037852,Cpe,carboxypeptidase E [Source:MGI Symbol;Acc:MGI:101932],16,202.6574146,2,88.90285566,123.3110747,17.48074227,94.82676429,280.5185333,201.8442554,884.8712452,89.39394062,2782.159764,1783.321511,261.4918115,11.83599778,,778.1495603,,,,,,,,0.168947986,,0.573898494
49,ENSMUSG00000032966,Fkbp1a,FK506 binding protein 1a [Source:MGI Symbol;Acc:MGI:95541],16,195.7348078,1,210.3086119,275.1333449,308.5557196,210.6210984,473.1753975,104.270894,175.5079117,315.347758,1365.122115,159.1663504,64.99216878,78.51279537,,295.6968329,,,,,35.98939357,,,0.888541259,,
50,ENSMUSG00000028692,Akr1a1,"aldo-keto reductase family 1, member A1 (aldehyde reductase) [Source:MGI Symbol;Acc:MGI:1929955]",16,186.9443044,0,162.255569,204.0775219,213.2591974,276.4491282,728.2944919,109.9226531,304.9438651,261.1022145,377.8163273,48.40805443,122.2933547,172.15766,,319.0413197,,,,,41.65377618,,,,,
51,ENSMUSG00000076432,Ywhaq,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta [Source:MGI Symbol;Acc:MGI:891963],16,185.8202444,1,97.91501186,130.784363,183.6155074,172.5511004,684.6342369,52.58430236,351.8304552,65.68317608,494.9774254,106.5364155,642.1261012,174.1298467,894.4198068,,,,,,32.87376576,,,0.824794681,,
52,ENSMUSG00000029064,Gnb1,"guanine nucleotide binding protein (G protein), beta 1 [Source:MGI Symbol;Acc:MGI:95781]",16,184.8141582,0,144.8757078,535.4345612,188.3534986,240.0720357,642.2018442,42.63568464,417.0010052,389.8491933,41.55115456,260.1007916,421.4751385,116.5994516,,,,,,,35.3890653,,,,,
53,ENSMUSG00000045763,Basp1,"brain abundant, membrane attached signal protein 1 [Source:MGI Symbol;Acc:MGI:1917600]",16,176.4331393,2,115.4911991,222.5909217,351.45789,134.7427779,278.5130002,150.4589525,199.9468679,335.4947895,130.2026786,220.5996665,178.5363087,60.24566522,260.7187501,,,,,,102.7481118,,,0.64215878,,0.348577803
54,ENSMUSG00000058672,Tubb2a,"tubulin, beta 2A class IIA [Source:MGI Symbol;Acc:MGI:107861]",16,175.2690633,1,104.5026421,457.1256259,99.70676839,272.0998875,780.4299054,134.9083091,134.4142593,410.6009837,900.9308718,107.043414,99.4975154,50.10013177,77.39180756,326.8228153,,,,,49.41005437,,,0.055533829,,
55,ENSMUSG00000020402,Vdac1,voltage-dependent anion channel 1 [Source:MGI Symbol;Acc:MGI:106919],16,174.5354943,1,68.01322959,444.2032991,208.8381344,223.974153,274.5303938,47.80002254,227.282293,434.8960218,265.4414278,126.3015266,279.1657523,138.3904496,,350.1673022,,,,,29.28188528,,,,,0.055772448
56,ENSMUSG00000036309,Skp1a,S-phase kinase-associated protein 1A [Source:MGI Symbol;Acc:MGI:103575],16,149.1759225,0,58.9902367,70.40659749,99.65755503,136.4438846,982.3893539,58.3749046,206.5544375,51.13097067,398.6789061,79.78882567,240.4085899,199.2920587,1001.384238,599.1751615,,,,,12.88946601,,,,,
57,ENSMUSG00000040681,Hmgn1,high mobility group nucleosomal binding domain 1 [Source:MGI Symbol;Acc:MGI:96120],16,143.6504887,1,114.2462676,117.7898609,833.366054,127.8642757,472.7068883,22.84403051,396.2731497,207.3705862,89.21076191,21.55145454,205.0076131,227.9870541,511.182811,140.0669209,,,,,27.95627856,,,0.977708252,,
58,ENSMUSG00000047459,Dynlrb1,dynein light chain roadblock-type 1 [Source:MGI Symbol;Acc:MGI:1914318],16,140.4415866,1,495.6098491,147.6518536,56.71167269,109.8900126,739.9954419,72.16163441,76.84694017,164.5962225,418.3106837,148.0349694,68.70638928,42.87453763,92.88170717,653.6456307,,,,,47.80927363,,,0.490027376,,
59,ENSMUSG00000021218,Gdi2,guanosine diphosphate (GDP) dissociation inhibitor 2 [Source:MGI Symbol;Acc:MGI:99845],16,138.0771844,0,116.7137106,64.68318526,54.60241283,123.7103618,308.1014454,24.38442675,245.023165,84.61856465,195.5946285,77.22347447,575.2291697,179.2668809,764.9584908,941.560968,,,,,14.18681894,,,,,
60,ENSMUSG00000006304,Arpc2,"actin related protein 2/3 complex, subunit 2 [Source:MGI Symbol;Acc:MGI:1923959]",16,137.4356005,0,153.135714,222.4969582,192.8801408,129.7602729,286.9419192,17.91416635,232.9847161,184.6864237,484.763792,44.57351295,156.1965109,119.0162365,,941.560968,,,,,12.02468091,,,,,
61,ENSMUSG00000018965,Ywhah,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide [Source:MGI Symbol;Acc:MGI:109194]",16,134.438921,0,251.0653221,148.0432319,79.89315355,115.1899414,160.6633676,26.71708588,240.7689763,122.9348088,812.8117399,152.672464,144.6966115,77.32095204,46.75452539,801.4940472,,,,,37.45970247,,,,,
62,ENSMUSG00000022956,Atp5o,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit [Source:MGI Symbol;Acc:MGI:106341]",16,102.3506447,1,12.97736702,149.4664601,347.4841317,84.92019683,148.5269764,176.1699496,196.5073111,110.4777,352.7804033,21.2580444,113.5335192,51.00239398,281.5484036,225.6633725,,,,,15.79557217,,,0.904966758,,
63,ENSMUSG00000027581,Stmn3,stathmin-like 3 [Source:MGI Symbol;Acc:MGI:1277137],16,102.1462993,2,11.18351597,261.1171667,23.15288733,62.81763939,526.4119708,99.8947458,167.9951955,263.3982146,570.9440268,96.78069036,114.5162126,,54.84190589,163.4114077,,,,,24.02116884,,,0.988658584,,0.603457892
64,ENSMUSG00000053477,Tcf4,transcription factor 4 [Source:MGI Symbol;Acc:MGI:98506],16,91.98501061,1,116.4248964,191.7739174,44.5919975,66.75959842,755.3625624,82.57820562,232.9847161,172.6639198,17.9941157,282.9659904,104.1529552,12.55256989,35.5838334,568.0491791,,,,,12.72601145,,,0.859992178,,
65,ENSMUSG00000024758,Rtn3,reticulon 3 [Source:MGI Symbol;Acc:MGI:1339970],16,84.89273617,1,83.15000056,22.33930065,121.1589869,32.89792177,71.04740258,23.14143035,235.4286118,25.11491389,585.868492,87.23766806,223.1793029,19.92209752,190.0245275,692.5531087,,,,,39.8214247,,,0.88267501,,
66,ENSMUSG00000026914,Psmd14,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 14 [Source:MGI Symbol;Acc:MGI:1913284]",16,75.00431673,0,87.00843414,60.70824841,72.55108779,58.67472679,344.620459,14.17542474,123.6430156,46.21597557,75.53588169,29.74249709,150.5050852,98.50742496,180.7446022,264.5708505,,,,,13.37804877,,,,,
67,ENSMUSG00000028161,Ppp3ca,"protein phosphatase 3, catalytic subunit, alpha isoform [Source:MGI Symbol;Acc:MGI:107164]",16,68.74447541,0,26.56580553,37.36891282,66.36364653,55.66081916,93.73990981,49.52281588,61.82150782,47.1665169,550.7319753,321.1674493,41.44665646,16.23602862,35.11613053,1353.980235,,,,,12.88221017,,,,,
68,ENSMUSG00000020152,Actr2,ARP2 actin-related protein 2 [Source:MGI Symbol;Acc:MGI:1913963],16,67.66738236,0,35.01197873,49.50381344,50.52853534,77.88869807,232.7404295,25.16673011,174.7837944,45.05430788,15.75292952,65.44455964,200.1513924,103.849721,,568.0491791,,,,,11.01853694,,,,,
69,ENSMUSG00000019998,Stx7,syntaxin 7 [Source:MGI Symbol;Acc:MGI:1858210],16,52.08062543,0,27.24588977,16.89608558,131.0637597,39.19852713,121.914111,13.44567236,62.54562504,,142.4511287,34.62927005,115.9474478,63.56761711,42.99544864,272.3523461,,,,,10.46245991,,,,,
70,ENSMUSG00000050148,Ubqln2,ubiquilin 2 [Source:MGI Symbol;Acc:MGI:1860283],16,38.62332124,1,20.03099268,17.24406489,32.88021841,16.46541655,22.889382,20.1716185,64.80849136,61.75106733,146.408882,71.14062185,43.5401664,11.0288523,49.20343411,614.7381527,,,,,12.14653606,,,0.152522487,,
71,ENSMUSG00000023944,Hsp90ab1,"heat shock protein 90 alpha (cytosolic), class B member 1 [Source:MGI Symbol;Acc:MGI:96247]",15,1733.714785,2,1769.870381,10615.21631,3200.764246,2239.97983,2954.801238,320.3022184,5526.100579,9010.825042,990.6244319,596.4816369,1785.924131,1151.842214,,2093.222317,,,,,137.2366188,,,0.056315995,,0.031790296
72,ENSMUSG00000072235,Tuba1a,"tubulin, alpha 1A [Source:MGI Symbol;Acc:MGI:98869]",15,1034.169643,1,511.2030963,2045.147515,1313.365289,785.3911712,6673.880352,552.7861456,677.954749,1505.879646,1112.547173,116.1036602,2840.269015,219.0570179,6703.426837,731.4605867,,,,,,,,0.719593273,,
73,ENSMUSG00000057322,Rpl38,ribosomal protein L38 [Source:MGI Symbol;Acc:MGI:1914921],15,624.7079176,0,205.7063651,1976.352657,2371.619598,1050.205755,1333.316892,293.550263,318.521063,1980.974399,719.2243757,152.8769845,744.4109993,787.0442513,324.2701631,,,,,,263.9296884,,,,,
74,ENSMUSG00000008668,Rps18,ribosomal protein S18 [Source:MGI Symbol;Acc:MGI:98146],15,590.475771,1,124.5146797,4804.410991,1643.657925,895.7471962,1826.133848,103.6669445,604.9094242,2680.919177,466.1620239,77.26922435,2046.581467,1301.891817,,210.1003813,,,,,114.8815665,,,0.087602659,,
75,ENSMUSG00000015656,Hspa8,heat shock protein 8 [Source:MGI Symbol;Acc:MGI:105384],15,590.1261158,1,597.6652218,2305.786658,374.5303509,725.687147,2095.265154,80.69281615,2821.61327,2731.241437,616.0026094,516.982593,,1197.254204,,544.7046922,,,,,10.38560714,,,,,0.001673173
76,ENSMUSG00000045128,Rpl18a,ribosomal protein L18A [Source:MGI Symbol;Acc:MGI:1924058],15,586.8286133,1,627.7373572,4648.527342,272.7263878,1423.914848,2428.897156,144.5324389,564.8114331,3631.434102,631.9410169,186.923347,396.9735076,944.9259644,,256.7893549,,,,,61.86156126,,,0.940946422,,
77,ENSMUSG00000028495,Rps6,ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159],15,551.4934766,1,609.36123,2442.34509,790.743486,1112.677559,1368.372434,85.7272471,1685.835407,1353.608588,376.8359498,134.6535476,2648.504396,1034.461723,151.7671257,,,,,,32.55248074,,0.720510894,,,
78,ENSMUSG00000012848,Rps5,ribosomal protein S5 [Source:MGI Symbol;Acc:MGI:1097682],15,534.5209394,1,127.8066576,2909.447453,943.9754009,1221.193627,1443.825495,128.644017,531.5925555,2249.930676,286.452739,97.51398302,853.7853631,941.3075184,,,,,,,136.0127943,,,0.086820493,,
